Index,Width,Length,Treatment,Temp,Plant,Repeat
107,3.75,47.376,Predawn,Predawn,3,3
108,6.226,31.827,WL,28,4,3
109,4.797,31.372,WL,28,4,3
110,6.496,44.43,WL,28,4,3
111,3.4,42.275,WL,28,4,3
112,5.68,49.231,WL,28,4,3
113,2.388,33.088,WL,28,4,3
114,3.931,35.161,WL,28,4,3
115,8.069,28.084,WL,28,4,3
116,7.317,39.899,WL,28,4,3
117,4.451,37.152,WL,28,4,3
118,1.253,31.585,WL,28,4,3
119,3.788,35.904,WL,28,4,3
120,12.148,46.362,UV,20,1,3
121,12.352,32.663,UV,20,1,3
122,10.236,53.077,UV,20,1,3
123,21.48,50.439,UV,20,1,3
124,8.945,35.029,UV,20,1,3
125,7.683,34.319,UV,20,1,3
126,8.529,29.794,UV,20,1,3
127,10.527,34.603,UV,20,1,3
128,17.434,57.19,UV,20,1,3
129,10.304,37.816,UV,20,1,3
130,12.065,41.934,UV,20,1,3
131,9.725,51.563,UV,20,1,3
132,9.129,37.077,WL,28,2,3
133,11.117,46.938,WL,28,2,3
134,9.418,36.152,WL,28,2,3
135,3.005,51.168,WL,28,2,3
136,7.01,46.136,WL,28,2,3
137,5.508,35.775,WL,28,2,3
138,6.186,42.655,WL,28,2,3
139,4.207,31.262,WL,28,2,3
140,3.145,41.666,WL,28,2,3
141,10.693,29.233,WL,28,2,3
142,12.391,31.394,WL,28,2,3
143,1.768,45.65,WL,28,2,3
144,8.354,31.205,WL,20,1,3
145,4.823,34.663,WL,20,1,3
146,10.573,35.561,WL,20,1,3
147,9.82,24.549,WL,20,1,3
148,8.908,38.946,WL,20,1,3
149,5.848,24.991,WL,20,1,3
150,4.217,31.159,WL,20,1,3
151,4.963,29.884,WL,20,1,3
152,6.187,21.751,WL,20,1,3
153,5.645,31.35,WL,20,1,3
154,5.667,31.295,WL,20,1,3
155,4.808,24.808,WL,20,1,3
156,12.068,46.227,UV,28,3,3
157,14.377,33.653,UV,28,3,3
158,19.269,47.432,UV,28,3,3
159,9.435,24.417,UV,28,3,3
160,17.819,29.075,UV,28,3,3
161,19.275,46.721,UV,28,3,3
162,9.839,28.262,UV,28,3,3
163,7.58,48.4,UV,28,3,3
164,10.522,41.577,UV,28,3,3
165,23.881,43.708,UV,28,3,3
166,18.788,44.56,UV,28,3,3
167,12.856,31.602,UV,28,3,3
168,11.253,24.678,UV,28,1,3
169,10.854,26.484,UV,28,1,3
170,17.117,48.622,UV,28,1,3
171,12.724,40.455,UV,28,1,3
172,11.245,43.414,UV,28,1,3
173,18.056,49.349,UV,28,1,3
174,12.777,39.323,UV,28,1,3
175,12.376,30.391,UV,28,1,3
176,16.359,38.574,UV,28,1,3
177,14.167,31.365,UV,28,1,3
178,14.368,38.244,UV,28,1,3
179,16.331,59.633,UV,28,1,3
180,7.828,37.663,WL,28,1,3
181,5.772,41.257,WL,28,1,3
182,9.852,41.134,WL,28,1,3
183,8.36,27.765,WL,28,1,3
184,7.204,37.433,WL,28,1,3
185,5.006,42.678,WL,28,1,3
186,5.621,41.218,WL,28,1,3
187,8.752,24.687,WL,28,1,3
188,8.165,39.396,WL,28,1,3
189,10.714,45.006,WL,28,1,3
190,8.61,18.633,WL,28,1,3
191,5.987,42.443,WL,28,1,3
192,8.08,41.003,Predawn,Predawn,1,3
193,4.809,44.794,Predawn,Predawn,1,3
194,7.617,25.759,Predawn,Predawn,1,3
195,4.454,25.31,Predawn,Predawn,1,3
196,1.352,35.619,Predawn,Predawn,1,3
197,8.42,34.699,Predawn,Predawn,1,3
198,3.727,35.006,Predawn,Predawn,1,3
199,7.598,45.542,Predawn,Predawn,1,3
200,5.006,34.417,Predawn,Predawn,1,3
201,8.47,41.958,Predawn,Predawn,1,3
202,6.247,33.489,Predawn,Predawn,1,3
203,8.216,39.644,Predawn,Predawn,1,3
204,10.256,44.198,UV,20,3,3
205,13.405,60.235,UV,20,3,3
206,16.049,42.73,UV,20,3,3
207,12.43,37.831,UV,20,3,3
208,15.606,62.03,UV,20,3,3
209,11.935,38.825,UV,20,3,3
210,7.442,51.486,UV,20,3,3
211,10.136,36.069,UV,20,3,3
212,9.49,41.232,UV,20,3,3
213,10.404,53.182,UV,20,3,3
214,9.757,34.033,UV,20,3,3
215,7.9,43.862,UV,20,3,3
216,13.627,42.269,UV,28,2,3
217,15.652,37.315,UV,28,2,3
