Index,Width,Length,Treatment,Genotype,Plant,Repeat
63,0.81964,11.569448,WL,Col-0,4,1
64,1.27596,14.113928,WL,Col-0,4,1
65,2.324008,9.77988,WL,Col-0,4,1
66,1.798248,8.444896,WL,Col-0,4,1
67,0.460784,10.107736,WL,Col-0,4,1
68,1.341928,11.150824,WL,Col-0,4,1
69,0.623968,10.298944,WL,Col-0,4,1
70,0.554528,9.763512,WL,Col-0,4,1
71,1.023,13.175248,WL,Col-0,4,1
0,2.201248,9.394736,Predawn,Col-0,2,1
1,1.912328,12.694376,Predawn,Col-0,2,1
2,2.604248,11.098248,Predawn,Col-0,2,1
3,1.42352,10.933328,Predawn,Col-0,2,1
4,0.8184,9.540064,Predawn,Col-0,2,1
5,1.711696,10.497096,Predawn,Col-0,2,1
6,0.454584,8.929488,Predawn,Col-0,2,1
7,1.64796,11.881432,Predawn,Col-0,2,1
8,1.611008,12.473656,Predawn,Col-0,2,1
9,2.214888,12.357592,Predawn,Col-0,2,1
10,2.119904,10.261496,Predawn,Col-0,2,1
11,1.720128,9.108544,Predawn,Col-0,2,1
12,4.02256,7.541184,UV,blus1-3,1,1
13,5.588432,13.320576,UV,blus1-3,1,1
14,5.394248,13.118208,UV,blus1-3,1,1
15,5.921248,8.804992,UV,blus1-3,1,1
16,4.496984,12.146048,UV,blus1-3,1,1
17,4.676288,12.6914,UV,blus1-3,1,1
18,6.07724,13.175496,UV,blus1-3,1,1
19,4.693896,9.48724,UV,blus1-3,1,1
20,4.89428,9.11896,UV,blus1-3,1,1
21,3.733144,12.370984,UV,blus1-3,1,1
22,3.356432,14.524368,UV,blus1-3,1,1
23,5.323072,7.35072,UV,blus1-3,1,1
24,3.596,8.726128,WL,blus1-3,2,1
25,2.878536,10.245624,WL,blus1-3,2,1
26,3.472248,9.793024,WL,blus1-3,2,1
27,2.853984,11.052864,WL,blus1-3,2,1
28,3.53524,10.665984,WL,blus1-3,2,1
29,3.017664,13.595608,WL,blus1-3,2,1
30,2.510256,10.558848,WL,blus1-3,2,1
31,2.775616,8.909648,WL,blus1-3,2,1
32,4.365048,10.42096,WL,blus1-3,2,1
33,3.200688,13.127384,WL,blus1-3,2,1
34,3.309312,7.42636,WL,blus1-3,2,1
35,2.9512,11.661208,WL,blus1-3,2,1
59,2.357736,9.45624,UV,Col-0,4,1
60,3.100248,13.227576,UV,Col-0,4,1
61,2.837864,11.966,UV,Col-0,4,1
62,1.651184,13.86196,UV,Col-0,4,1
63,2.915488,9.150208,UV,Col-0,4,1
64,4.230632,12.288896,UV,Col-0,4,1
65,2.430152,13.171032,UV,Col-0,4,1
66,2.17,8.123736,UV,Col-0,4,1
67,3.058336,9.474592,UV,Col-0,4,1
68,3.951632,11.12528,UV,Col-0,4,1
69,2.494632,12.82532,UV,Col-0,4,1
70,2.335664,7.812992,UV,Col-0,4,1
0,3.60716,10.05888,Predawn,blus1-3,4,1
1,3.868056,9.843368,Predawn,blus1-3,4,1
2,2.306648,13.553944,Predawn,blus1-3,4,1
3,2.040544,12.129928,Predawn,blus1-3,4,1
4,1.63804,12.390328,Predawn,blus1-3,4,1
5,3.549128,9.838408,Predawn,blus1-3,4,1
6,1.712936,11.5134,Predawn,blus1-3,4,1
7,3.000056,11.149088,Predawn,blus1-3,4,1
8,4.089768,10.043008,Predawn,blus1-3,4,1
9,2.553656,7.935256,Predawn,blus1-3,4,1
10,2.258784,7.728424,Predawn,blus1-3,4,1
11,2.842824,6.917464,Predawn,blus1-3,4,1
24,1.313656,9.921488,Predawn,Col-0,1,2
25,1.055736,9.892224,Predawn,Col-0,1,2
26,1.783864,10.727488,Predawn,Col-0,1,2
27,0.937192,10.799656,Predawn,Col-0,1,2
28,1.4012,12.268064,Predawn,Col-0,1,2
29,1.079792,9.308432,Predawn,Col-0,1,2
30,0.702832,11.052616,Predawn,Col-0,1,2
31,2.5854,6.773376,Predawn,Col-0,1,2
32,1.03044,12.0838,Predawn,Col-0,1,2
33,1.4632,9.996384,Predawn,Col-0,1,2
