Index,Width,Length,Time,Treatment,Age,Plant
259,4.776,22.717,120mins,WL,Mature,2
260,7.45,27.526,120mins,WL,Mature,2
261,4.247,26.857,120mins,WL,Mature,2
262,9.455,28.395,120mins,WL,Mature,2
263,3.066,25.402,120mins,WL,Mature,2
264,6.406,20.203,360mins,UV,Mature,2
265,6.522,26.169,360mins,UV,Mature,2
266,6.68,28.069,360mins,UV,Mature,2
267,9.657,23.778,360mins,UV,Mature,2
268,6.936,28.637,360mins,UV,Mature,2
269,4.244,29.856,360mins,UV,Mature,2
270,4.74,26.35,360mins,UV,Mature,2
271,4.76,28.025,360mins,UV,Mature,2
272,8.172,30.936,360mins,UV,Mature,2
273,3.701,26.442,360mins,UV,Mature,2
274,2.125,37.643,360mins,UV,Mature,2
275,7.546,42.328,360mins,UV,Mature,2
276,11.585,28.107,240mins,UV,Mature,1
277,9.976,33.728,240mins,UV,Mature,1
278,6.553,29.717,240mins,UV,Mature,1
279,5.964,34.719,240mins,UV,Mature,1
280,7.731,29.104,240mins,UV,Mature,1
281,2.08,36.301,240mins,UV,Mature,1
282,4.008,31.406,240mins,UV,Mature,1
283,6.587,41.537,240mins,UV,Mature,1
284,5.635,26.414,240mins,UV,Mature,1
285,6.615,38.66,240mins,UV,Mature,1
286,8.438,37.388,240mins,UV,Mature,1
287,7.579,30.123,240mins,UV,Mature,1
288,11.841,37.205,240mins,WL,Mature,1
289,11.761,30.406,240mins,WL,Mature,1
290,15.167,40.085,240mins,WL,Mature,1
291,8.839,26.701,240mins,WL,Mature,1
292,11.966,37.22,240mins,WL,Mature,1
293,7.358,25.167,240mins,WL,Mature,1
294,8.574,42.146,240mins,WL,Mature,1
295,11.764,35.16,240mins,WL,Mature,1
296,10.489,36.121,240mins,WL,Mature,1
297,11.556,39.974,240mins,WL,Mature,1
298,12.169,40.646,240mins,WL,Mature,1
299,7.383,28.17,240mins,WL,Mature,1
300,14.751,42.597,120mins,UV,Cot,3
301,7.608,34.741,120mins,UV,Cot,3
302,10.092,34.603,120mins,UV,Cot,3
303,11.539,44.115,120mins,UV,Cot,3
304,9.124,53.224,120mins,UV,Cot,3
305,13.558,38.516,120mins,UV,Cot,3
306,7.493,37.691,120mins,UV,Cot,3
307,9.228,40.778,120mins,UV,Cot,3
308,7.567,37.238,120mins,UV,Cot,3
309,5.479,48.674,120mins,UV,Cot,3
310,12.362,39.527,120mins,UV,Cot,3
311,10.138,38.918,120mins,UV,Cot,3
312,11.226,36.984,120mins,UV,Cot,1
313,13.368,31.821,120mins,UV,Cot,1
314,7.675,42.214,120mins,UV,Cot,1
315,7.512,33.621,120mins,UV,Cot,1
316,10.751,43.259,120mins,UV,Cot,1
317,9.384,41.149,120mins,UV,Cot,1
318,14.559,41.692,120mins,UV,Cot,1
319,10.466,29.868,120mins,UV,Cot,1
320,9.369,42.654,120mins,UV,Cot,1
321,11.769,31.485,120mins,UV,Cot,1
322,10.77,29.015,120mins,UV,Cot,1
323,9.001,45.105,120mins,UV,Cot,1
324,9.308,35.631,360mins,UV,Cot,1
325,11.743,34.883,360mins,UV,Cot,1
326,13.723,36.654,360mins,UV,Cot,1
327,12.386,46.003,360mins,UV,Cot,1
328,9.911,30.527,360mins,UV,Cot,1
329,9.65,29.885,360mins,UV,Cot,1
330,11.293,43.936,360mins,UV,Cot,1
331,14.7,49.03,360mins,UV,Cot,1
332,18.922,50.072,360mins,UV,Cot,1
333,12.751,37.487,360mins,UV,Cot,1
334,11.804,35.08,360mins,UV,Cot,1
335,9.951,32.163,360mins,UV,Cot,1
336,10.201,31.835,360mins,WL,Cot,2
337,8.251,29.67,360mins,WL,Cot,2
338,5.823,25.824,360mins,WL,Cot,2
339,3.891,35.355,360mins,WL,Cot,2
340,5.417,29.181,360mins,WL,Cot,2
341,5.552,41.986,360mins,WL,Cot,2
342,6.834,36.642,360mins,WL,Cot,2
343,8.897,28.11,360mins,WL,Cot,2
344,4.67,41.334,360mins,WL,Cot,2
345,5.647,47.227,360mins,WL,Cot,2
346,7.179,34.049,360mins,WL,Cot,2
347,3.021,42.261,360mins,WL,Cot,2
348,5.933,36.159,120mins,WL,Mature,1
349,4.428,29.218,120mins,WL,Mature,1
350,6.152,34.441,120mins,WL,Mature,1
351,10.937,35.33,120mins,WL,Mature,1
352,6.973,30.65,120mins,WL,Mature,1
353,7.43,36.299,120mins,WL,Mature,1
354,8.367,36.367,120mins,WL,Mature,1
355,8.897,37.803,120mins,WL,Mature,1
356,9.731,35.484,120mins,WL,Mature,1
357,6.686,31.631,120mins,WL,Mature,1
358,6.637,29.152,120mins,WL,Mature,1
359,8.021,30.277,120mins,WL,Mature,1
360,10.466,44.207,360mins,FR,Cot,3
361,5.82,25.866,360mins,FR,Cot,3
362,4.61,31.708,360mins,FR,Cot,3
363,3.599,33.125,360mins,FR,Cot,3
364,1.841,40.068,360mins,FR,Cot,3
365,4.249,41.519,360mins,FR,Cot,3
366,7.011,25.839,360mins,FR,Cot,3
367,5.363,23.954,360mins,FR,Cot,3
368,5.54,44.435,360mins,FR,Cot,3
369,2.5,26.186,360mins,FR,Cot,3
370,3.01,26.211,360mins,FR,Cot,3
371,3.366,37.455,360mins,FR,Cot,3
372,3.504,28.524,120mins,FR,Cot,2
373,6.346,24.35,120mins,FR,Cot,2
374,2.672,38.017,120mins,FR,Cot,2
375,4.817,31.915,120mins,FR,Cot,2
376,2.486,42.533,120mins,FR,Cot,2
377,5.503,31.763,120mins,FR,Cot,2
378,5.07,27.806,120mins,FR,Cot,2
379,3,31.168,120mins,FR,Cot,2
380,3.274,29.15,120mins,FR,Cot,2
381,2.386,33.796,120mins,FR,Cot,2
382,2.427,31.449,120mins,FR,Cot,2
383,5.772,26.945,360mins,UV,Cot,3
384,3.745,31.522,360mins,UV,Cot,3
385,2.878,30.196,360mins,UV,Cot,3
386,13.005,35.814,360mins,UV,Cot,3
387,12.846,37.676,360mins,UV,Cot,3
388,3.516,42.771,360mins,UV,Cot,3
389,7.157,29.403,360mins,UV,Cot,3
390,5.315,29.133,360mins,UV,Cot,3
391,5.483,31.473,360mins,UV,Cot,3
392,15.386,34.972,360mins,UV,Cot,3
393,19.924,34.217,360mins,UV,Cot,3
394,5.08,32.701,360mins,UV,Cot,3
395,8.833,35.863,360mins,WL,Mature,1
396,5.131,38.596,360mins,WL,Mature,1
397,6.93,36.255,360mins,WL,Mature,1
398,5.65,25.339,360mins,WL,Mature,1
399,7.54,42.818,360mins,WL,Mature,1
400,10.358,32.195,360mins,WL,Mature,1
401,6.317,29.779,360mins,WL,Mature,1
402,7.215,35.874,360mins,WL,Mature,1
403,10.883,37.133,360mins,WL,Mature,1
404,7.641,28.866,360mins,WL,Mature,1
405,5.938,40.534,360mins,WL,Mature,1
406,9.405,37.38,360mins,WL,Mature,1
407,6.217,46.44,360mins,FR,Cot,2
408,8.662,21.126,360mins,FR,Cot,2
409,9.208,35.959,360mins,FR,Cot,2
410,6.205,25.979,360mins,FR,Cot,2
411,5.938,26.369,360mins,FR,Cot,2
412,5.378,36.127,360mins,FR,Cot,2
413,5.168,29.097,360mins,FR,Cot,2
414,8.051,24.684,360mins,FR,Cot,2
415,1.537,42.344,360mins,FR,Cot,2
416,5.548,31.426,360mins,FR,Cot,2
417,4.881,28.429,360mins,FR,Cot,2
418,3.727,25.796,360mins,FR,Cot,2
419,5.375,49.739,0mins,Predawn,Cot,1
420,4.901,29.502,0mins,Predawn,Cot,1
421,6.501,23.797,0mins,Predawn,Cot,1
422,1.783,41.897,0mins,Predawn,Cot,1
423,1.537,39.335,0mins,Predawn,Cot,1
424,2.713,44.894,0mins,Predawn,Cot,1
425,6.654,37.757,0mins,Predawn,Cot,1
426,2.461,44.047,0mins,Predawn,Cot,1
427,3.959,38.45,0mins,Predawn,Cot,1
428,5.848,37.863,0mins,Predawn,Cot,1
429,2.062,31.64,0mins,Predawn,Cot,1
430,2.809,38.215,0mins,Predawn,Cot,1
431,5.202,29.401,120mins,FR,Cot,3
432,6.562,40.321,120mins,FR,Cot,3
433,8.004,39.604,120mins,FR,Cot,3
434,2.167,47.338,120mins,FR,Cot,3
435,7.492,31.482,120mins,FR,Cot,3
436,5.669,48.049,120mins,FR,Cot,3
437,6.637,30.61,120mins,FR,Cot,3
438,8.672,46.688,120mins,FR,Cot,3
439,5.065,29.382,120mins,FR,Cot,3
440,6.067,42.506,120mins,FR,Cot,3
441,7.23,46.295,120mins,FR,Cot,3
442,6.669,36.632,120mins,FR,Cot,3
443,5.039,36.038,240mins,FR,Cot,2
444,3.202,27.409,240mins,FR,Cot,2
445,3.676,31.444,240mins,FR,Cot,2
446,3.167,25.675,240mins,FR,Cot,2
447,5.876,26.946,240mins,FR,Cot,2
448,2.404,34.824,240mins,FR,Cot,2
449,10.024,42.898,240mins,FR,Cot,2
450,7.448,45.059,240mins,FR,Cot,2
451,8.355,38.03,240mins,FR,Cot,2
452,7.474,27.695,240mins,FR,Cot,2
453,6.194,24.905,240mins,FR,Cot,2
454,10.527,41.665,240mins,FR,Cot,2
455,10.59,43.676,240mins,UV,Cot,2
456,8.127,42.242,240mins,UV,Cot,2
457,7.651,34.827,240mins,UV,Cot,2
458,12.857,50.048,240mins,UV,Cot,2
459,10.12,43.516,240mins,UV,Cot,2
460,6.671,51.643,240mins,UV,Cot,2
461,7.626,30.059,240mins,UV,Cot,2
462,13.013,44.483,240mins,UV,Cot,2
463,8.751,42.355,240mins,UV,Cot,2
464,9.729,43.754,240mins,UV,Cot,2
465,5.497,52.407,240mins,UV,Cot,2
466,6.903,53.184,240mins,UV,Cot,2
